Date,Media Sources,Neutral,Positive,Text,Tweet Polarity,Tweets Ago
09/21/2017,BBC News (UK),0.686,0.0,House of Lords rejects 'flawed' expenses report https://t.co/opJE2dOIo2,-0.4939,100
09/21/2017,BBC News (UK),0.446,0.0,"Boy, 17, arrested over Tube attack https://t.co/PqJRSN1WWR",-0.7351,99
09/21/2017,BBC News (UK),0.672,0.0,James Herbert death: Watchdog makes police restraint recommendations https://t.co/ASRD8T1Bqr,-0.5994,98
09/20/2017,BBC News (UK),0.882,0.0,Quit smoking campaign Stoptobber backs e-cigs for first time https://t.co/VC4ZA8kogX,-0.0516,97
09/20/2017,BBC News (UK),0.598,0.231,"Chronic fatigue therapy 'could help teenagers', study says https://t.co/b7TODa2Dgh",0.1779,96
09/20/2017,BBC News (UK),0.504,0.496,Nine in 10 GPs rated good or outstanding https://t.co/4natrp95V2,0.7845,95
09/20/2017,BBC News (UK),0.809,0.0,"Thursday's Times: ""UN is failing the world, May tells global leaders"" #tomorrowspaperstoday (via @BBCHelenaLee) https://t.co/VP8O7HcXdZ",-0.5106,94
09/20/2017,BBC News (UK),0.696,0.0,"Thursday's Mirror: ""Crime Lords"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/9PUo1Hbo6V",-0.5423,93
09/20/2017,BBC News (UK),0.558,0.298,"Thursday's Mail: ""Shame of care homes that just don't care"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/kFzakhMs94",0.5106,92
09/20/2017,BBC News (UK),1.0,0.0,"Thursday's Guardian: ""May hits out at US 'threat' to climate treaty"" #tomorrowspaperstoday (via @BBCHelenaLee) https://t.co/Ky9Y36Z8f9",0.0,91
09/20/2017,BBC News (UK),1.0,0.0,"Thursday's Star: ""Rooney has to give up the booze"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/7Ckj3fnoJz",0.0,90
09/20/2017,BBC News (UK),1.0,0.0,"Thursday's Sun: ""Dubai Brit faces jail for finger salute"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/HOxZeLwvDQ",0.0,89
09/20/2017,BBC News (UK),0.562,0.0,"Thursday's i: ""Death by dangerous cycling"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/4dzWdBvaj0",-0.7906,88
09/20/2017,BBC News (UK),1.0,0.0,"Thursday's Express: ""May's big push for EU exit"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee)  https://t.co/SckgG5CIi3",0.0,87
09/20/2017,BBC News (UK),0.847,0.153,"Thursday's Telegraph: ""Treasury 'talking down Brexit'"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/ZzYgCmPfBQ",0.2023,86
09/20/2017,BBC News (UK),1.0,0.0,"Thursday's Metro: ""Ry-Unfair"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/TeJLZMQEn0",0.0,85
09/20/2017,BBC News (UK),1.0,0.0,"Thursday's FT:""Fed calls historic end to crisis-era QE and signals further rate rise"" #bbcpapers (via @BBCHelenaLee) https://t.co/z61ChM8Fuz",0.0,84
09/20/2017,BBC News (UK),0.526,0.246,UK threatens to withhold United Nations funding https://t.co/14skjk76f8,0.0516,83
09/20/2017,BBC News (UK),0.787,0.213,Cathedral defends decision to allow Hellboy filming https://t.co/lcFx67d8DG,0.2263,82
09/20/2017,BBC News (UK),0.738,0.262,"Court ruling not needed to withdraw care, judge says https://t.co/UjDAnevlR2",0.4939,81
09/20/2017,BBC News (UK),0.678,0.0,"The RAF has killed more than 3,000 IS fighters in Iraq and Syria https://t.co/fr4inOLvoM",-0.6908,80
09/20/2017,BBC News (UK),1.0,0.0,RT @BBCEngland: A raid on a three-bedroom house in north west London found 35 men living in rooms full of mattresses https://t.co/M0sY6IOVl…,0.0,79
09/20/2017,BBC News (UK),0.82,0.094,"RT @BBCWorld: UK PM Theresa May says UN Security Council members must exert ""the pressure we know is necessary"" on North Korea https://t.co…",0.0516,78
09/20/2017,BBC News (UK),0.561,0.218,Theresa May praises resilience of British people after terror attacks &amp; is met by applause at UN General Assembly… https://t.co/qUqNLoJh26,-0.0258,77
09/20/2017,BBC News (UK),1.0,0.0,RAF heads off Russian jets near Scotland https://t.co/OM6RFzunpP,0.0,76
09/20/2017,BBC News (UK),1.0,0.0,Queensbury raid uncovers 35 men living in house https://t.co/38dmY6PnaK,0.0,75
09/20/2017,BBC News (UK),0.909,0.091,"RT @5liveSport: How well have the FA handled the Mark Sampson situation?

Chief executive Martin Glenn feels it has been ""positive""

https:…",0.2732,74
09/20/2017,BBC News (UK),0.824,0.0,Thomas Cook pilots to strike on Saturday https://t.co/q2PIotRKXy,-0.128,73
09/20/2017,BBC News (UK),0.722,0.0,Ryanair compensation info 'woefully short' says Which? https://t.co/3EJEazv8go,-0.4019,72
09/20/2017,BBC News (UK),1.0,0.0,RT @BBCSport: FA chief executive Martin Glenn explains why England women's manager Mark Sampson was sacked ➡️ https://t.co/6pWTWQkcP2 https…,0.0,71
09/20/2017,BBC News (UK),0.842,0.0,"Mark Sampson has been sacked following evidence of ""inappropriate &amp; unacceptable"" behaviour in a previous role - FA  https://t.co/XkRIXhTk8z",-0.4588,70
09/20/2017,BBC News (UK),0.769,0.095,"RT @danroan: BREAKING: FA sack Mark Sampson over ""inappropriate &amp; unacceptable behaviour"" after safeguarding allegations from when at Brist…",-0.2263,69
09/20/2017,BBC News (UK),0.34,0.0,Rochdale abuse victims fear they will die before inquiry ends https://t.co/JS3girwses,-0.9274,68
09/20/2017,BBC News (UK),1.0,0.0,UK scientists edit DNA of human embryos https://t.co/2EIhH8F2Uy,0.0,67
09/20/2017,BBC News (UK),1.0,0.0,"PM to host meetings with other world leaders and Facebook, Microsoft and Twitter at UN general assembly https://t.co/2EISznA5P2",0.0,66
09/20/2017,BBC News (UK),0.797,0.0,"RT @BBCWorld: ""It never achieved popularity with creators or users"" https://t.co/7K0pgYzSiD",-0.3724,65
09/20/2017,BBC News (UK),0.806,0.194,"RT @bbcgetinspired: Surfing superhero 

Ben wants to make surfing accessible to everyone. 

This is a great story https://t.co/Dhzyy9qggy #…",0.6249,64
09/20/2017,BBC News (UK),0.873,0.0,"RT @BBCr4today: Here are divers on a recently found 2000 year old wreck.

Listen back to the tale of the discovery https://t.co/mxItVfD0VO…",-0.4404,63
09/20/2017,BBC News (UK),0.833,0.0,"RT @BBCWorld: Iran's president says Donald Trump's UN speech was ""ignorant, absurd"" and contained ""hateful rhetoric"" 

https://t.co/dL3qiRx…",-0.4939,62
09/20/2017,BBC News (UK),0.833,0.0,"RT @BBCEngland: McCain, which featured a gay couple and their son in a TV ad, says it is ""disappointed"" they received online abuse https://…",-0.6369,61
09/20/2017,BBC News (UK),1.0,0.0,RT @BBCTech: A hidden golf game has been found on #NintendoSwitch https://t.co/zQpTMryXEB,0.0,60
09/20/2017,BBC News (UK),0.796,0.0,Take Me Out star 'hanged himself after job loss' https://t.co/R7UYBgr4Bb,-0.3182,59
09/20/2017,BBC News (UK),0.659,0.07,"RT @BBCEngland: The death of a four-year-old boy found hanged by his hooded top was an ""extraordinary"" accident, a coroner says https://t.c…",-0.7351,58
09/20/2017,BBC News (UK),0.587,0.121,"RT @BBCWorld: Mexico quake: 

- More than 200 killed
- 39 buildings collapse in Mexico City
- Rescue continues  

Latest updates: https://t…",-0.6872,57
09/20/2017,BBC News (UK),0.254,0.11,University Challenge contestant denies rape https://t.co/IAvU0sFDZV,-0.802,56
09/20/2017,BBC News (UK),0.531,0.0,Britain First leaders charged with religious harassment https://t.co/rCPWOQlVOy,-0.6486,55
09/20/2017,BBC News (UK),0.562,0.0,McCain's dismay over online abuse for TV ad gay dads https://t.co/APztmF6ySd,-0.7906,54
09/20/2017,BBC News (UK),0.882,0.0,Mark Sampson set to leave as England women's manager https://t.co/F9Xq3O68rQ,-0.0516,53
09/20/2017,BBC News (UK),0.672,0.328,"RT @BBC_HaveYourSay: ""A huge wave of people emerged to help with the rescue effort"" after the Mexican  earthquake #FueraMexico https://t.co…",0.8074,52
09/20/2017,BBC News (UK),0.881,0.0,"RT @BBCSport: Sergio Perez has donated £124,500 to victims of the earthquake in his native Mexico.
https://t.co/V697xdKevA https://t.co/XQr…",-0.3182,51
09/20/2017,BBC News (UK),0.658,0.0,"RT @bbc5live: 'I am going to die' @vicderbyshire on her immediate assumption following her cancer diagnosis

#DearcancerloveVictoria #DearC…",-0.8519,50
09/20/2017,BBC News (UK),0.883,0.117,"RT @BBCr4today: Meet Renee Glynne.

At 91 she's the most credited script supervisor of all time.

And... she's still working. #r4today http…",0.4201,49
09/20/2017,BBC News (UK),1.0,0.0,"Scarborough boy Maison Hirstle, 4, 'hanged' by hoodie https://t.co/cBDd0VuFl6",0.0,48
09/20/2017,BBC News (UK),1.0,0.0,M1 closure object 'possibly hydrochloric acid' https://t.co/0T6E4bJ73H,0.0,47
09/20/2017,BBC News (UK),0.482,0.205,Rashan Charles death: Police officer not suspended https://t.co/OVFi6nwutm,-0.3283,46
09/20/2017,BBC News (UK),0.69,0.18,"RT @BBCWorld: People formed human chains to reach others who were trapped.

Praise for those who helped after Mexico earthquake

https://t.…",0.0772,45
09/20/2017,BBC News (UK),0.743,0.089,"RT @BBCWorld: #FuerzaMexico (strength to Mexico) was shared more than 1m times after the earthquake that killed more than 200 hit

https://…",-0.4767,44
09/20/2017,BBC News (UK),0.543,0.457,"""The best of British"" 🛳️🇬🇧

https://t.co/SHUlQqUhZG",0.6369,43
09/20/2017,BBC News (UK),0.871,0.0,"RT @bbc5live: They call it 'the most dangerous border on Earth'

@annaefoster takes us to the very edge of South Korea

BLOG 📲: https://t.c…",-0.5256,42
09/20/2017,BBC News (UK),0.798,0.092,"RT @vicderbyshire: 3 wks after our exclusive on a controversial sterilisation device, the manufacturer withdraws it https://t.co/sZiwMmm7Ie…",-0.0772,41
09/20/2017,BBC News (UK),0.532,0.0,Nottingham gas explosion: Two seriously injured https://t.co/ED9weTVATp,-0.5267,40
09/20/2017,BBC News (UK),0.827,0.173,"Olivia and Oliver are top of the list of baby names in England and Wales, how popular is your name? Find out here:… https://t.co/B0N6bjRI1q",0.5574,39
09/20/2017,BBC News (UK),0.824,0.0,Birmingham bin strike halted after court ruling https://t.co/AyuG1ZdAPT,-0.128,38
09/20/2017,BBC News (UK),0.635,0.0,Warning over food import delays if no Brexit deal https://t.co/bhCFVjACur,-0.5574,37
09/20/2017,BBC News (UK),0.764,0.236,"Olivia &amp; Oliver are the most popular 👶 names in England and Wales. 

How popular is your name? Find out here ➡… https://t.co/KCu9Y5Hcmw",0.734,36
09/20/2017,BBC News (UK),1.0,0.0,Female film casting same as 100 years ago https://t.co/nt5LOZ0ria,0.0,35
09/20/2017,BBC News (UK),1.0,0.0,RT @BBCEngland: The first statue of a woman to be built in Parliament Square - suffragist Millicent Fawcett - gets the go ahead https://t.c…,0.0,34
09/20/2017,BBC News (UK),1.0,0.0,Woman held at Heathrow Airport in anti-terrorism probe https://t.co/EfpHrv10S1,0.0,33
09/20/2017,BBC News (UK),0.813,0.187,Euro Parliament negotiator: 'Up to UK to find border solution' https://t.co/VyQvcRoDub,0.3182,32
09/20/2017,BBC News (UK),0.864,0.0,Couple who can't afford their dream wedding ask guests to pay £150 each to be there on their big day 👰💍🎊… https://t.co/190nNr4neU,-0.2824,31
09/20/2017,BBC News (UK),1.0,0.0,RT @BBCEngland: Do we judge people by what they're called? https://t.co/A5i4IIUDFp https://t.co/Eyw4UdHT0z,0.0,30
09/20/2017,BBC News (UK),0.849,0.0,"RT @BBCWorld: First aerial images emerge showing the damage to the island of Dominica after Hurricane #Maria

https://t.co/0PsqsN5ygJ https…",-0.4939,29
09/20/2017,BBC News (UK),0.847,0.153,Baby names: Olivia top as William makes way for Muhammad https://t.co/rzIJi0cAr9,0.2023,28
09/20/2017,BBC News (UK),0.782,0.0,"RT @BBCNewsround: More than 400,000 Rohingya people have had to flee their homes in Myanmar, after fighting broke out there https://t.co/fI…",-0.6486,27
09/20/2017,BBC News (UK),1.0,0.0,RT @BBCLondonNews: London venue is UK's first to use digital-only ticketing https://t.co/AGqsS23TtY https://t.co/AsudyCbngv,0.0,26
09/20/2017,BBC News (UK),0.692,0.0,"RT @VictoriaLIVE: 'Academic pressure is adding to risks of teenage depression - ""we need to turn down the heat""' says @_NatashaDevon
https:…",-0.7906,25
09/20/2017,BBC News (UK),0.34,0.0,Two more arrested over Tube bomb attack https://t.co/NOTUMOx20C,-0.8655,24
09/20/2017,BBC News (UK),0.9,0.0,"RT @VictoriaLIVE: ""A lot of buildings collapsed - you have to wonder if the buildings meet the earthquake code"" #mexicoearthquake https://t…",-0.2732,23
09/20/2017,BBC News (UK),0.753,0.247,"Meet the man who invented this :-) 

😄😊☺😁😆😅😀😃 https://t.co/tyrYD8M7VJ",0.3869,22
09/20/2017,BBC News (UK),0.885,0.115,RT @BBCBusiness: US-style coffee or Italian coffee? Which one gets your vote? @maurogalluzzo reveals why Italians may surprise you ☕ https:…,0.3527,21
09/20/2017,BBC News (UK),0.667,0.0,'Remove racist' Native American tapestry from public display https://t.co/vLRObosnfA,-0.6124,20
09/20/2017,BBC News (UK),1.0,0.0,"RT @BBCWorld: Follow the latest news on the #mexicoearthquake 

https://t.co/JxB93vuqa4 https://t.co/EMIuwHv8wV",0.0,19
09/20/2017,BBC News (UK),0.783,0.217,RT @BBCEngland: Greater Manchester Police reveals more than one in five of its computers were still running Windows XP as of July https://t…,0.7034,18
09/20/2017,BBC News (UK),0.712,0.124,"RT @BBCWorld: Strong earthquake hits central Mexico, killing more than 200 people and toppling dozens of buildings in Mexico City

https://…",-0.2732,17
09/20/2017,BBC News (UK),1.0,0.0,RT @bbcweather: Here's your Wednesday planner. Get the forecast for where you are here https://t.co/irGlOFGKGH Alina https://t.co/BxNT6syhSj,0.0,16
09/20/2017,BBC News (UK),1.0,0.0,"RT @BBCBenThompson: 4,000 jobs to go as India's Tata Steel &amp; German rival, Thyssenkrupp, merge European steel arms. CFO tells me deal safeg…",0.0,15
09/20/2017,BBC News (UK),0.733,0.0,RT @BBCFergusWalsh: Life-extending lung cancer drug denied to writer AA Gill to be made immediately available to NHS patients in England ht…,-0.8074,14
09/20/2017,BBC News (UK),0.696,0.0,Prisoner quizzed over Marvin Couson Lime bar shooting https://t.co/bUOpeiAKB8,-0.5423,13
09/20/2017,BBC News (UK),0.917,0.083,RT @BBCBreakfast: A new survey suggests a third of people admit to checking their phone within 5 mins of waking up. Sound familiar? 📱 https…,0.2023,12
09/20/2017,BBC News (UK),1.0,0.0,"RT @BBCr4today: ""Utterly extraordinary""

Here are divers on a recently found 2000 year old Roman Galley #r4today https://t.co/TUQzICkXB1",0.0,11
09/20/2017,BBC News (UK),0.798,0.0,"RT @BBCNewsAsia: Baggage handler, who allegedly swapped hundreds of luggage tags at Singapore's Changi Airport, charged with mischief https…",-0.5106,10
09/20/2017,BBC News (UK),0.717,0.283,RT @BBCBusiness: On #BBCBizLive: there's reports Amazon is about to launch smart glasses using it's Alexa AI. Are smart glasses a wearable…,0.7269,9
09/20/2017,BBC News (UK),0.75,0.203,RT @BBCBreakfast: EXCLUSIVE: The moment Prince Harry met the Foo Fighters. The band tell Breakfast how their friendship with the Prince beg…,0.6037,8
09/20/2017,BBC News (UK),0.861,0.0,"RT @BBCr4today: A quarter of girls and nearly one in 10 boys show signs of depression at the age of 14, say UK researchers https://t.co/AdO…",-0.5719,7
09/20/2017,BBC News (UK),1.0,0.0,"RT @BBCWorld: Follow the latest news on the #mexicoearthquake

https://t.co/39rCHhtRhG https://t.co/ZZN8nR77WC",0.0,6
09/20/2017,BBC News (UK),0.562,0.0,RT @DannyShawBBC: Latest on #ParsonsGreen attack: 3rd arrest; extremist referral re bomb suspect; details of bomber's journey  https://t.co…,-0.872,5
09/20/2017,BBC News (UK),0.775,0.05,"RT @BBCWorld: ""The movement was intense"" - Laura Carlsen was in Mexico City when earthquake that's killed more than 220 people hit https://…",-0.6369,4
09/20/2017,BBC News (UK),0.645,0.0,"Your morning briefing: More than 220 dead in Mexico earthquake, PM warns tech firms over terror &amp; other stories… https://t.co/gm7o2G50eg",-0.8542,3
09/20/2017,BBC News (UK),1.0,0.0,Tata Steel and ThyssenKrupp merger deal confirmed https://t.co/7rYQw3hIl8,0.0,2
09/20/2017,BBC News (UK),0.843,0.0,"RT @BBCWorld: As Hurricane Maria bears down on Puerto Rico... https://t.co/CrAGG0Rwnh

Mexico earthquake devastation continues: https://t.c…",-0.4215,1
09/21/2017,CBS News,0.737,0.129,"First responders' work has been at times frantic, painstaking in the aftermath of the powerful Mexico earthquake… https://t.co/Yqs9lk2oy3",-0.0258,100
09/21/2017,CBS News,0.805,0.195,Attorney General Jeff Sessions to testify before Senate panel about Department of Justice oversight… https://t.co/btUL8oUcOd,0.5267,99
09/21/2017,CBS News,1.0,0.0,Attendance numbers for youth football are declining amid health concerns over brain injuries https://t.co/sLjHcC92bi https://t.co/hrhHifgMPV,0.0,98
09/21/2017,CBS News,0.891,0.0,"Iran's president said no alterations would made to current nuclear deal. In response, Tillerson says ""never say nev… https://t.co/aFEZf21dUZ",-0.296,97
09/21/2017,CBS News,0.776,0.091,"After being asked if nuclear deal hurts U.S. credibility with N. Korea, Tillerson says ""nature of agreements"" are g… https://t.co/nmpmHrCC2b",-0.25,96
09/21/2017,CBS News,1.0,0.0,"Tillerson would not reveal Pres. Trump's decision on nuclear deal, but says after meeting, Iran is in ""technical co… https://t.co/T2zEGT27Jn",0.0,95
09/21/2017,CBS News,0.762,0.1,"""They have provided weapons and training forces to deploy to create instability throughout the region,"" Tillerson s… https://t.co/xKzNhkrriZ",-0.2023,94
09/21/2017,CBS News,1.0,0.0,"Tillerson says Iran has ""not met expectations"" in nuclear arms deal https://t.co/8Mr3oU6IGe",0.0,93
09/21/2017,CBS News,0.84,0.0,"""Our thoughts and prayers are with the Mexican people as they are dealing with this terrible tragedy,"" Tillerson sa… https://t.co/IyhYVftL5Z",-0.561,92
09/21/2017,CBS News,1.0,0.0,"NOW: Secretary of State Rex Tillerson holds press conference following the Joint Commission Meeting hosted by EU, a… https://t.co/6BKC8i2JDq",0.0,91
09/21/2017,CBS News,0.909,0.091,Amazon is reviewing procedures after it was revealed its website may unwittingly give tips to would-be bombers… https://t.co/2Nsnu2TiKp,0.1779,90
09/21/2017,CBS News,0.87,0.13,Special counsel Robert Mueller has asked the White House for documents from Pres. Trump's time since taking office… https://t.co/xDCiGuQVtW,0.4019,89
09/20/2017,CBS News,1.0,0.0,Why a team of 8-year-old football players decided to kneel for the national anthem ahead of Sunday's game. https://t.co/8IxpKP49UO,0.0,88
09/20/2017,CBS News,0.75,0.0,Maria knocked out Puerto Rico's power and left loads of damage to an island already struggling with a massive debt… https://t.co/9Fu4hM2Fdq,-0.7184,87
09/20/2017,CBS News,0.802,0.0,"Police search for ""Mad Pooper"" who's defecating on lawns in a Colorado neighborhood https://t.co/YjhuDB3umT https://t.co/tZLWkrv4Sc",-0.4939,86
09/20/2017,CBS News,0.706,0.208,"""I felt like they were doing work that no one else was doing,"" @MumfordAndSons' Marcus said about his charity work… https://t.co/IMSMLs6Wke",0.4767,85
09/20/2017,CBS News,0.762,0.0,"Southern California is battling an outbreak of hepatitis A, which attacks the liver and is highly contagious.… https://t.co/hpYPNZfL4J",-0.6124,84
09/20/2017,CBS News,0.708,0.08,"Playing tackle football before age 12 dramatically increases risk for brain problems later in life, new study finds… https://t.co/l7mFnurIL7",-0.4588,83
09/20/2017,CBS News,0.87,0.13,Mark Phillips reports @amazon is reviewing procedures after it was revealed that its website may unwittingly help w… https://t.co/AvhhESCcDv,0.4019,82
09/20/2017,CBS News,0.63,0.37,Senate Republicans say their new health care plan may be their best chance for getting rid of Obamacare.… https://t.co/bHdLpNxCjE,0.8555,81
09/20/2017,CBS News,0.816,0.184,.@jeffpeguescbs learned of emails that show a top Trump operative reaching out to an associate of Vladimir Putin. https://t.co/2SQiVJuriD,0.3818,80
09/20/2017,CBS News,0.874,0.0,"At least 230 people were killed, but there are also incredible stories of survival. @BojorquezCBS has more from Mex… https://t.co/CipvBXJbwz",-0.4118,79
09/20/2017,CBS News,0.877,0.123,"Hurricane Maria, the most powerful storm to hit Puerto Rico in more than 80 years has knocked out power to the isla… https://t.co/2V92atBpog",0.4754,78
09/20/2017,CBS News,1.0,0.0,Here's a quick look at what's ahead on @CBSEveningNews: https://t.co/Pzq6KWczZc,0.0,77
09/20/2017,CBS News,1.0,0.0,"Paul Manafort offered to give Russian billionaire ""private briefings"" on 2016 campaign, according to report… https://t.co/KhSzdBzLig",0.0,76
09/20/2017,CBS News,1.0,0.0,AHEAD: Hurricane Maria blasted Puerto Rico with 155 mph winds today. @DavidBegnaud is there tonight on… https://t.co/OYDKx1yetv,0.0,75
